family,construct,label,trait,n,rho,p
Divergent,exp,Expansion,Extraversion,38,0.27304949135225587,0.09718617917804186
Divergent,exp,Expansion,Agreeableness,38,-0.24155301834498846,0.14400810694021368
Divergent,exp,Expansion,Conscientiousness,38,-0.019880483616332503,0.9056958520423775
Divergent,exp,Expansion,Negative Emotionality,38,0.033209433456166004,0.8430978262997447
Divergent,exp,Expansion,Open-Mindedness,38,0.10284557538211543,0.5389264380097263
Divergent,con,Contraction,Extraversion,38,0.12208992591537507,0.4652617085087718
Divergent,con,Contraction,Agreeableness,38,-0.282256703756713,0.08599186506587136
Divergent,con,Contraction,Conscientiousness,38,-0.03909828444545393,0.8157180931745548
Divergent,con,Contraction,Negative Emotionality,38,0.1378025992915327,0.4093475236062024
Divergent,con,Contraction,Open-Mindedness,38,0.10977647285351885,0.5117665374782978
Divergent,cri,Critique,Extraversion,38,-0.14710293420309178,0.3781447498224734
Divergent,cri,Critique,Agreeableness,38,0.16882020342895604,0.3109601045250355
Divergent,cri,Critique,Conscientiousness,38,-0.013143208613019822,0.9375759146199297
Divergent,cri,Critique,Negative Emotionality,38,-0.12886584145116908,0.440665866167126
Divergent,cri,Critique,Open-Mindedness,38,0.01676830033404056,0.9204073036363607
Divergent,cer,Certainty,Extraversion,38,0.16076642771708685,0.3349373365797934
Divergent,cer,Certainty,Agreeableness,38,-0.16070170879765577,0.3351345137176309
Divergent,cer,Certainty,Conscientiousness,38,0.09564721562079971,0.5678469093998797
Divergent,cer,Certainty,Negative Emotionality,38,-0.0575924394156766,0.7312604678859195
Divergent,cer,Certainty,Open-Mindedness,38,-0.13392282533453725,0.42278520790095886
Divergent,com,Commitment,Extraversion,38,-0.0012120841020479473,0.9942375800562803
Divergent,com,Commitment,Agreeableness,38,0.0441512653236466,0.7923939603772494
Divergent,com,Commitment,Conscientiousness,38,0.2035540628050045,0.22028992268087602
Divergent,com,Commitment,Negative Emotionality,38,-0.21359954541906112,0.19786723706238313
Divergent,com,Commitment,Open-Mindedness,38,-0.004136180749063338,0.9803377518428043
Divergent,ref,Reframing,Extraversion,38,0.18511829922186837,0.2658474427523199
Divergent,ref,Reframing,Agreeableness,38,-0.11165710424418435,0.5045168977600812
Divergent,ref,Reframing,Conscientiousness,38,-0.16942589926363366,0.30920186429019414
Divergent,ref,Reframing,Negative Emotionality,38,0.32128196087825717,0.049200535271094595
Divergent,ref,Reframing,Open-Mindedness,38,0.2491769429638427,0.13139373654903133
Divergent,prop,Propose-new-idea,Extraversion,38,0.180159773349854,0.279089446958728
Divergent,prop,Propose-new-idea,Agreeableness,38,-0.4084826134351485,0.010893560187297755
Divergent,prop,Propose-new-idea,Conscientiousness,38,-0.32858021532549553,0.043993382835737116
Divergent,prop,Propose-new-idea,Negative Emotionality,38,0.41230449443751616,0.010103326952084412
Divergent,prop,Propose-new-idea,Open-Mindedness,38,0.06461385062050296,0.6999379516920532
Convergent,exp,Expansion,Extraversion,41,0.04504706495469943,0.7797355032692846
Convergent,exp,Expansion,Agreeableness,41,0.1685255426364034,0.292214857724723
Convergent,exp,Expansion,Conscientiousness,41,-0.08555414232672637,0.5948303869306277
Convergent,exp,Expansion,Negative Emotionality,41,-0.0915732130062236,0.5690711108302096
Convergent,exp,Expansion,Open-Mindedness,41,0.15617238326536576,0.3295274151400405
Convergent,con,Contraction,Extraversion,41,0.18939048125896002,0.23563891145858143
Convergent,con,Contraction,Agreeableness,41,-0.027657753963019244,0.863711133326147
Convergent,con,Contraction,Conscientiousness,41,0.19535155291030742,0.22094786360014387
Convergent,con,Contraction,Negative Emotionality,41,-0.0606969423384191,0.7061893366186768
Convergent,con,Contraction,Open-Mindedness,41,0.2153674679138245,0.17627638560566933
Convergent,cri,Critique,Extraversion,41,-0.08764020419202222,0.5858450200145272
Convergent,cri,Critique,Agreeableness,41,0.06243004270752253,0.6981909613778442
Convergent,cri,Critique,Conscientiousness,41,-0.2991759843581417,0.05740726885912365
Convergent,cri,Critique,Negative Emotionality,41,0.2771827033454472,0.07934349469464684
Convergent,cri,Critique,Open-Mindedness,41,-0.0921107370987228,0.5667958617961273
Convergent,cer,Certainty,Extraversion,41,-0.0007011216335361778,0.9965287908487435
Convergent,cer,Certainty,Agreeableness,41,-0.22766511300748954,0.1522687644472697
Convergent,cer,Certainty,Conscientiousness,41,-0.08915549739386781,0.5793563591174029
Convergent,cer,Certainty,Negative Emotionality,41,0.04627042271015716,0.773908111518489
Convergent,cer,Certainty,Open-Mindedness,41,-0.18970741627248963,0.2348415092016094
Convergent,com,Commitment,Extraversion,41,0.141889490586884,0.37619527525601804
Convergent,com,Commitment,Agreeableness,41,-0.019387107279544034,0.904237394250416
Convergent,com,Commitment,Conscientiousness,41,-0.031445978391137615,0.8452569233886621
Convergent,com,Commitment,Negative Emotionality,41,-0.13186190806563802,0.4111824821155791
Convergent,com,Commitment,Open-Mindedness,41,-0.019200797262654036,0.9051534744157597
Convergent,ref,Reframing,Extraversion,41,0.014635914100067711,0.9276339008891478
Convergent,ref,Reframing,Agreeableness,41,-0.30645858571242546,0.05132127411103833
Convergent,ref,Reframing,Conscientiousness,41,-0.0612230361414048,0.7037580331679547
Convergent,ref,Reframing,Negative Emotionality,41,0.047765854622842864,0.7668013370777629
Convergent,ref,Reframing,Open-Mindedness,41,0.14024545466039928,0.38180706562635697
Convergent,prop,Propose-new-idea,Extraversion,41,-0.3324192945003403,0.03371201482573586
Convergent,prop,Propose-new-idea,Agreeableness,41,-0.21263565828160452,0.18195836815852856
Convergent,prop,Propose-new-idea,Conscientiousness,41,-0.12754067213388778,0.4268133449063083
Convergent,prop,Propose-new-idea,Negative Emotionality,41,-0.007301226397230124,0.9638638570073548
Convergent,prop,Propose-new-idea,Open-Mindedness,41,-0.16059653010007865,0.31583763083956745
Rational,exp,Expansion,Extraversion,9,0.297939785765562,0.43616642382435533
Rational,exp,Expansion,Agreeableness,9,-0.1191759143062248,0.7600720072686069
Rational,exp,Expansion,Conscientiousness,9,-0.22786635759382498,0.5554138874204526
Rational,exp,Expansion,Negative Emotionality,9,0.6975036196572949,0.03672232474451499
Rational,exp,Expansion,Open-Mindedness,9,0.4637286359365902,0.20863954586214475
Rational,con,Contraction,Extraversion,9,-0.5107539184552492,0.1599898165315162
Rational,con,Contraction,Agreeableness,9,0.017025130615174973,0.9653250652330922
Rational,con,Contraction,Conscientiousness,9,-0.03375797890278888,0.9312940863813554
