contrast,family_a,family_b,criterion,n_a,n_b,mean_a,mean_b,g,ci_low,ci_high,welch_t,p_raw,sig_05
Divergent vs Convergent,Divergent,Convergent,user_initiative,50,50,1.76,1.5,0.3424726243442213,-0.052390463661927456,0.7373357123503701,1.725603042765342,0.08766032210530642,False
Divergent vs Convergent,Divergent,Convergent,user_question_richness,50,50,0.96,0.62,0.33119703992814464,-0.06348125176468666,0.725875331620976,1.668789208916296,0.09841269657931262,False
Divergent vs Convergent,Divergent,Convergent,user_proposal_specificity,50,50,1.66,1.46,0.17669265783703536,-0.2160714945913223,0.569456810265393,0.8902941909056808,0.3755049574225607,False
Divergent vs Convergent,Divergent,Convergent,user_acceptance_yes_and,46,49,1.5,1.5918367346938775,-0.08904169743745856,-0.4916250401920446,0.3135416453171275,-0.4382915506874,0.6621914654148648,False
Divergent vs Convergent,Divergent,Convergent,user_reframing,50,50,0.78,0.6,0.25369491120226906,-0.13987877714831976,0.6472685995528579,1.2782823489701958,0.204519751172392,False
Divergent vs Convergent,Divergent,Convergent,user_engagement_depth,50,50,1.8,1.58,0.29918419648516514,-0.09500272720872871,0.693371120179059,1.5074873817744792,0.13521135857249716,False
Divergent vs Rational,Divergent,Rational,user_initiative,50,25,1.76,1.72,0.059643469693748494,-0.42055139277149184,0.5398383321589888,0.25553288866689916,0.7992960611238245,False
Divergent vs Rational,Divergent,Rational,user_question_richness,50,25,0.96,0.84,0.11119155827785711,-0.3692380818167016,0.5916211983724158,0.4674270946880592,0.6422010694038593,False
Divergent vs Rational,Divergent,Rational,user_proposal_specificity,50,25,1.66,1.48,0.16275288563968496,-0.31805309205785837,0.6435588633372283,0.7277848710335615,0.4695946639861374,False
Divergent vs Rational,Divergent,Rational,user_acceptance_yes_and,46,24,1.5,1.25,0.2827211484729889,-0.2130338551168809,0.7784761520628587,1.3101213342464741,0.19470382419718085,False
Divergent vs Rational,Divergent,Rational,user_reframing,50,25,0.78,0.72,0.07864319359113499,-0.4016217287374494,0.5589081159197193,0.35625643751504826,0.7228664470428814,False
Divergent vs Rational,Divergent,Rational,user_engagement_depth,50,25,1.8,1.68,0.19370914372337425,-0.28739063282643895,0.6748089202731874,0.7898793928930815,0.4335938153986406,False
Divergent vs BoundedRational,Divergent,BoundedRational,user_initiative,50,25,1.76,1.6,0.22829881532087476,-0.2531893329099609,0.7097869635517104,0.932556526429435,0.3558272797056697,False
Divergent vs BoundedRational,Divergent,BoundedRational,user_question_richness,50,25,0.96,1.08,-0.10831631276040445,-0.5887291302312418,0.37209650471043293,-0.4430060991192467,0.6597922464308711,False
Divergent vs BoundedRational,Divergent,BoundedRational,user_proposal_specificity,50,25,1.66,1.44,0.18660965649955286,-0.29441824751734813,0.6676375605164538,0.7728259816965863,0.4433663942419706,False
Divergent vs BoundedRational,Divergent,BoundedRational,user_acceptance_yes_and,46,25,1.5,1.28,0.22856224751993826,-0.25989485232221526,0.7170193473620918,0.957900495724821,0.3424025490195393,False
Divergent vs BoundedRational,Divergent,BoundedRational,user_reframing,50,25,0.78,0.6,0.2279624951460054,-0.2535215720181502,0.709446562310161,0.9864241511798515,0.3282695835205115,False
Divergent vs BoundedRational,Divergent,BoundedRational,user_engagement_depth,50,25,1.8,1.64,0.2400715323959009,-0.2415632399029578,0.7217063046947596,0.9194753606774269,0.36338114761636525,False
