conversation_id,group,challenge_id,dist_to_challenge_centroid,resid_same_cond_originality,within_conv_diversity
483,treatment,ta_south_community,nan,1.0,0.1921
485,treatment,other_unclear,0.0167,1.0088,0.1954
487,treatment,joint_rikma_jewish_arab,0.0363,1.037,0.1733
523,treatment,joint_rikma_jewish_arab,0.0187,1.0195,0.1943
543,treatment,natal_trauma_language,0.0377,1.0264,0.1986
547,treatment,natal_trauma_language,0.019,1.034,0.1839
549,control,natal_trauma_language,0.0297,0.9686,0.1871
555,treatment,ichilov_rehab_future,0.0624,1.0338,0.1781
559,treatment,natal_trauma_language,0.0283,1.0211,0.2096
569,treatment,natal_trauma_language,0.0285,1.0316,0.1883
575,control,polyron_sleep,0.0524,1.0256,0.1923
583,treatment,other_unclear,0.0528,1.0414,0.1861
593,treatment,joint_rikma_jewish_arab,0.02,1.0125,0.2004
595,treatment,joint_rikma_jewish_arab,0.0205,1.0204,0.1834
601,treatment,ichilov_rehab_future,0.0209,1.0075,0.192
605,control,ichilov_rehab_future,0.022,0.9937,0.1935
631,treatment,joint_rikma_jewish_arab,0.033,1.0316,0.2224
633,treatment,joint_rikma_jewish_arab,0.0775,1.0442,0.0945
635,treatment,joint_rikma_jewish_arab,0.0421,1.0319,0.2149
639,control,joint_rikma_jewish_arab,0.0285,0.9803,0.1971
647,treatment,polyron_sleep,0.0476,1.0135,0.1414
661,treatment,ta_east_reut_yad_eliyahu,nan,1.0,0.2054
665,treatment,ichilov_rehab_future,0.0362,1.0128,0.153
667,treatment,ichilov_rehab_future,0.0166,1.0409,0.1954
671,treatment,ichilov_rehab_future,0.0267,1.0194,0.2132
679,treatment,ichilov_rehab_future,0.0236,1.025,0.1683
685,control,ichilov_rehab_future,0.054,1.0783,0.1273
693,control,other_unclear,0.0214,0.9968,0.1751
695,control,ichilov_rehab_future,0.0187,0.9824,0.201
701,control,ichilov_rehab_future,0.0224,1.0329,0.1993
711,treatment,ichilov_rehab_future,0.0262,1.0092,0.1833
719,treatment,ichilov_rehab_future,0.021,1.0035,0.179
721,treatment,other_unclear,0.033,1.0269,0.2087
727,treatment,ichilov_rehab_future,0.1008,1.0498,0.1164
731,treatment,natal_trauma_language,0.0312,1.0165,0.1928
733,treatment,polyron_sleep,0.0388,1.0227,0.1708
737,treatment,ichilov_rehab_future,0.0132,1.0095,0.203
751,control,ichilov_rehab_future,0.0157,0.9894,0.179
753,treatment,ichilov_rehab_future,0.0136,1.0176,0.2028
769,treatment,galilee_upper,nan,1.0,0.1779
