family,contrast,criterion,n_a,n_b,mean_a,mean_b,g,ci_low,ci_high,welch_t,p_raw,sig_05
Divergent,Divergent vs GPT,user_initiative,50,50,1.76,1.54,0.2899931564884044,-0.10406180993100334,0.6840481229078121,1.4611768580794608,0.1472553634377702,False
Divergent,Divergent vs GPT,user_question_richness,50,50,0.96,1.18,-0.19786567685866518,-0.5908237014202211,0.19509234770289074,-0.9969778305636352,0.32123266904775494,False
Divergent,Divergent vs GPT,user_proposal_specificity,50,50,1.66,1.06,0.4945542343384354,0.09660704265013426,0.8925014260267365,2.4918905364217556,0.01439011649337586,True
Divergent,Divergent vs GPT,user_acceptance_yes_and,46,49,1.5,1.0612244897959184,0.4804509256644131,0.07230849266371614,0.88859335866511,2.3464597841585864,0.021194485188236394,True
Divergent,Divergent vs GPT,user_reframing,50,50,0.78,0.7,0.1040197991373484,-0.2882452041937037,0.49628480246840057,0.5241203796740107,0.6014018995839332,False
Divergent,Divergent vs GPT,user_engagement_depth,50,50,1.8,1.48,0.4823094045680037,0.08465099547270877,0.8799678136632987,2.4301930049753793,0.016953244900045444,True
Convergent,Convergent vs GPT,user_initiative,50,50,1.5,1.54,-0.04876842631707699,-0.4408266917923247,0.3432898391581707,-0.24572750889145753,0.8064070688182604,False
Convergent,Convergent vs GPT,user_question_richness,50,50,0.62,1.18,-0.5364518462971302,-0.9354401787654651,-0.13746351382879513,-2.70299834925487,0.008136626343901748,True
Convergent,Convergent vs GPT,user_proposal_specificity,50,50,1.46,1.06,0.34300060535052745,-0.051871285227318153,0.7378724959283731,1.7282633594337145,0.0871525149186444,False
Convergent,Convergent vs GPT,user_acceptance_yes_and,49,49,1.5918367346938775,1.0612244897959184,0.5541224582484133,0.150615068854847,0.9576298476419797,2.7644196524900138,0.006907380398205291,True
Convergent,Convergent vs GPT,user_reframing,50,50,0.6,0.7,-0.15436203466894,-0.5469453777514592,0.2382213084135792,-0.7777777777777776,0.4386560401577213,False
Convergent,Convergent vs GPT,user_engagement_depth,50,50,1.58,1.48,0.1282616955399055,-0.2641411484983629,0.5206645395781738,0.6462670484033898,0.5196582372903918,False
Rational,Rational vs GPT,user_initiative,25,50,1.72,1.54,0.23638438520664887,-0.24520367736682683,0.7179724477801246,1.0700017972666427,0.2888032890841591,False
Rational,Rational vs GPT,user_question_richness,25,50,0.84,1.18,-0.30869538510443817,-0.7913303539795277,0.17393958377065133,-1.3104116368697485,0.19582145612785573,False
Rational,Rational vs GPT,user_proposal_specificity,25,50,1.48,1.06,0.3642598582492443,-0.11936619312119823,0.8478859096196868,1.6566776583496412,0.10262370633945535,False
Rational,Rational vs GPT,user_acceptance_yes_and,24,49,1.25,1.0612244897959184,0.24484180491298632,-0.24510107465935652,0.7347846844853292,1.101878425729961,0.2749171636442172,False
Rational,Rational vs GPT,user_reframing,25,50,0.72,0.7,0.029201784747470493,-0.4509209488824722,0.5093245183774132,0.12632278815997797,0.899940104096294,False
Rational,Rational vs GPT,user_engagement_depth,25,50,1.68,1.48,0.29037752729975924,-0.1919661972140536,0.7727212518135721,1.2469552509720638,0.21783750008805877,False
BoundedRational,BoundedRational vs GPT,user_initiative,25,50,1.6,1.54,0.0761242281342891,-0.404130299386106,0.5563787556546842,0.32913096532540903,0.7433167078819468,False
BoundedRational,BoundedRational vs GPT,user_question_richness,25,50,1.08,1.18,-0.08853518413765561,-0.5688441978657932,0.39177382959048196,-0.36566946955738605,0.7162093537535907,False
BoundedRational,BoundedRational vs GPT,user_proposal_specificity,25,50,1.44,1.06,0.31066564447872286,-0.17200170051739538,0.7933329894748411,1.3100428553732597,0.19604851731651335,False
BoundedRational,BoundedRational vs GPT,user_acceptance_yes_and,25,49,1.28,1.0612244897959184,0.2550941637997169,-0.22838601663537883,0.7385743442348126,1.0235471085106265,0.31147715460367537,False
BoundedRational,BoundedRational vs GPT,user_reframing,25,50,0.6,0.7,-0.13996340411115166,-0.6205856119546251,0.34065880373232177,-0.5773502691896256,0.5663951379665892,False
BoundedRational,BoundedRational vs GPT,user_engagement_depth,25,50,1.64,1.48,0.21878722992098315,-0.2625878084856831,0.7001622683276494,0.8817713202168825,0.38255944596583286,False
