conversation_id,episode_id,scorer,criterion,score_0_4,confidence_0_1,counterevidence,possible_biases,usable_for_inference,episode_word_count,episode_type,condition_original_hidden,persona_family_original_hidden
154,154_e06,C,exploration_opening,1.0,0.9,,none,True,99,commitment_event,GPT,GPT
154,154_e06,C,reframing_quality,0.0,0.9,,none,True,99,commitment_event,GPT,GPT
154,154_e06,C,evaluative_discipline,0.0,0.9,,none,True,99,commitment_event,GPT,GPT
154,154_e06,C,agency_preservation,3.0,0.9,,none,True,99,commitment_event,GPT,GPT
154,154_e06,C,anchor_management,0.0,0.9,,none,True,99,commitment_event,GPT,GPT
154,154_e06,C,coregulation_uptake,3.0,0.9,,none,True,99,commitment_event,GPT,GPT
154,154_e06,C,timing_fit,2.0,0.8,,none,True,99,commitment_event,GPT,GPT
154,154_e06,C,implementation_grounding,1.0,0.9,,none,True,99,commitment_event,GPT,GPT
154,154_e06,C,cognitive_load_clarity,3.0,0.9,,none,True,99,commitment_event,GPT,GPT
154,154_e06,C,stance_integrity,2.0,0.8,,none,True,99,commitment_event,GPT,GPT
154,154_e06,C,premature_convergence_risk,3.0,0.9,,none,True,99,commitment_event,GPT,GPT
154,154_e06,C,runaway_divergence_risk,0.0,0.9,,none,True,99,commitment_event,GPT,GPT
157,157_e04,C,exploration_opening,1.0,0.9,,none,True,142,commitment_event,GPT,GPT
157,157_e04,C,reframing_quality,0.0,0.9,,none,True,142,commitment_event,GPT,GPT
157,157_e04,C,evaluative_discipline,2.0,0.8,,none,True,142,commitment_event,GPT,GPT
157,157_e04,C,agency_preservation,3.0,0.9,,none,True,142,commitment_event,GPT,GPT
157,157_e04,C,anchor_management,1.0,0.8,,none,True,142,commitment_event,GPT,GPT
157,157_e04,C,coregulation_uptake,1.0,0.9,,none,True,142,commitment_event,GPT,GPT
157,157_e04,C,timing_fit,2.0,0.8,,none,True,142,commitment_event,GPT,GPT
157,157_e04,C,implementation_grounding,2.0,0.8,,none,True,142,commitment_event,GPT,GPT
157,157_e04,C,cognitive_load_clarity,2.0,0.8,,none,True,142,commitment_event,GPT,GPT
157,157_e04,C,stance_integrity,3.0,0.8,,none,True,142,commitment_event,GPT,GPT
157,157_e04,C,premature_convergence_risk,1.0,0.8,,none,True,142,commitment_event,GPT,GPT
157,157_e04,C,runaway_divergence_risk,0.0,0.9,,none,True,142,commitment_event,GPT,GPT
160,160_e01,C,exploration_opening,1.0,0.9,,none,True,43,opening_frame,GPT,GPT
160,160_e01,C,reframing_quality,0.0,0.9,,none,True,43,opening_frame,GPT,GPT
160,160_e01,C,evaluative_discipline,,1.0,,none,False,43,opening_frame,GPT,GPT
160,160_e01,C,agency_preservation,3.0,0.9,,none,True,43,opening_frame,GPT,GPT
160,160_e01,C,anchor_management,,1.0,,none,False,43,opening_frame,GPT,GPT
160,160_e01,C,coregulation_uptake,3.0,0.9,,none,True,43,opening_frame,GPT,GPT
160,160_e01,C,timing_fit,3.0,0.9,,none,True,43,opening_frame,GPT,GPT
160,160_e01,C,implementation_grounding,0.0,0.9,,none,True,43,opening_frame,GPT,GPT
160,160_e01,C,cognitive_load_clarity,3.0,0.9,,none,True,43,opening_frame,GPT,GPT
160,160_e01,C,stance_integrity,3.0,0.9,,none,True,43,opening_frame,GPT,GPT
160,160_e01,C,premature_convergence_risk,0.0,0.9,,none,True,43,opening_frame,GPT,GPT
160,160_e01,C,runaway_divergence_risk,0.0,0.9,,none,True,43,opening_frame,GPT,GPT
167,167_e03,C,exploration_opening,2.0,0.9,,none,True,168,commitment_event,Persona,Convergent
167,167_e03,C,reframing_quality,2.0,0.8,,none,True,168,commitment_event,Persona,Convergent
167,167_e03,C,evaluative_discipline,2.0,0.8,,none,True,168,commitment_event,Persona,Convergent
