contrast,criterion,n_fam_A,n_gpt_A,g_Qwen,p_Qwen,sig_Qwen,g_Gemini,p_Gemini,sig_Gemini,sign_match,both_sig
Divergent vs GPT,exploration_opening,42,29,3.1239637556243744,6.1983737682024055e-18,True,1.7553659248700308,3.906052186185137e-14,True,True,True
Divergent vs GPT,reframing_quality,42,29,2.488666982639097,1.5047005982842142e-10,True,1.9589208707573176,5.271760902660249e-16,True,True,True
Divergent vs GPT,evaluative_discipline,42,29,0.8929620328347135,0.0007544009801425349,True,0.34204536446991796,0.32680829409179557,False,True,False
Divergent vs GPT,agency_preservation,42,29,0.6033818988904913,0.022377477464988582,True,0.9793132363422915,5.185709809563522e-06,True,True,True
Divergent vs GPT,anchor_management,42,29,1.7768969057376567,4.1461076979610426e-08,True,1.7198720657709967,1.585618182885108e-12,True,True,True
Divergent vs GPT,coregulation_uptake,42,29,0.985921602571945,0.0013269046014976458,True,1.3069414583866272,4.984663225505578e-09,True,True,True
Divergent vs GPT,timing_fit,42,29,1.753351072414919,6.66284668677847e-07,True,1.2265212491633128,3.2902806822304354e-08,True,True,True
Divergent vs GPT,implementation_grounding,42,29,0.11615497275898415,0.6315230407451571,False,-0.10244321175561555,0.60819888991659,False,False,False
Divergent vs GPT,cognitive_load_clarity,42,29,0.19920057514976844,0.43315065593967234,False,0.9314771849792864,1.1918840248502624e-05,True,True,False
Divergent vs GPT,stance_integrity,42,29,1.1320681410846651,0.0003004209763044465,True,1.3040736267038522,2.0545849517599473e-08,True,True,True
Divergent vs GPT,premature_convergence_risk,42,29,-1.086499290420549,6.462460527098489e-05,True,-1.0730760088630062,7.326128134809984e-07,True,True,True
Divergent vs GPT,runaway_divergence_risk,42,29,0.5880360875305343,0.016043752965697336,True,0.6515460408706892,0.0015238476454450664,True,True,True
Convergent vs GPT,exploration_opening,36,29,1.4176823097171938,1.8907571188805798e-07,True,0.6763805472845836,0.0009958920285234546,True,True,True
Convergent vs GPT,reframing_quality,36,29,1.4404969172751267,5.990939179922278e-07,True,0.7997260966406569,0.00011066799276075024,True,True,True
Convergent vs GPT,evaluative_discipline,36,29,0.7732697228963415,0.002306707856925,True,1.0782264011121705,1.8870312459831708e-05,True,True,True
Convergent vs GPT,agency_preservation,36,29,0.7592478196162787,0.00443227735488111,True,0.8228810461207418,9.382579038589264e-05,True,True,True
Convergent vs GPT,anchor_management,36,29,1.2388578312969885,1.3441038795149619e-05,True,1.0228696575244478,7.258885936086511e-06,True,True,True
Convergent vs GPT,coregulation_uptake,36,29,0.9936000410953375,0.00043502137324644813,True,0.8221488905889148,7.575236364274394e-05,True,True,True
Convergent vs GPT,timing_fit,36,29,0.9835832746630184,0.0003427481113456623,True,1.0757961539999836,7.057877855395762e-07,True,True,True
Convergent vs GPT,implementation_grounding,36,29,0.2770197586349749,0.26040617159696017,False,0.1139186302066216,0.5723505099623682,False,True,False
Convergent vs GPT,cognitive_load_clarity,36,29,0.7123467710057915,0.006166673795459284,True,1.0274455534597773,2.660352418947626e-06,True,True,True
Convergent vs GPT,stance_integrity,36,29,1.0698573342469655,0.00036209474479326426,True,1.2279526808777235,7.627702023421683e-08,True,True,True
Convergent vs GPT,premature_convergence_risk,36,29,-0.3760933023792598,0.13419222146034557,False,-0.6889639393447674,0.0009625435575030659,True,True,False
Convergent vs GPT,runaway_divergence_risk,36,29,-0.05318423942533709,0.833300066106352,False,-0.029373115420142173,0.8826769829044363,False,True,False
Rational vs GPT,exploration_opening,19,29,1.3195433634850666,0.0001961120417973971,True,0.9765245725887223,2.527242556052002e-05,True,True,True
Rational vs GPT,reframing_quality,19,29,1.3660990074668258,1.6483372779296704e-05,True,1.7484617399588485,8.714756845143657e-09,True,True,True
Rational vs GPT,evaluative_discipline,19,29,1.3146020096950362,2.523355292170383e-05,True,1.3984623939647212,0.01201142591341202,True,True,True
Rational vs GPT,agency_preservation,19,29,0.805733067372063,0.0051268345248777925,True,0.8988172103319042,1.0788362252356722e-05,True,True,True
Rational vs GPT,anchor_management,19,29,1.3379512525501418,8.97079551944646e-06,True,1.3859980817097546,1.3023278678110207e-06,True,True,True
Rational vs GPT,coregulation_uptake,19,29,0.7677473857901257,0.002782961219123967,True,0.9619597556135019,1.159892566362326e-05,True,True,True
Rational vs GPT,timing_fit,19,29,1.0762377196157613,0.0001886254599695347,True,0.9032435453098205,7.657200350040934e-05,True,True,True
Rational vs GPT,implementation_grounding,19,29,0.2747620577604582,0.3349572191899455,False,0.24230082535011138,0.2950042190069846,False,True,False
Rational vs GPT,cognitive_load_clarity,19,29,0.41288084612151293,0.14870862467831247,False,0.9241864535079316,2.7450663401942666e-06,True,True,False
Rational vs GPT,stance_integrity,19,29,0.6928926841772446,0.011956736375199428,True,1.1573666087666923,3.3921292274154486e-08,True,True,True
Rational vs GPT,premature_convergence_risk,19,29,-0.7897462591916492,0.008181970715834548,True,-0.9179520953167082,5.0608991042886354e-05,True,True,True
