claim_id,claim_type,analysis_layer,evidence_files,primary_variables,model_or_test,effect_direction,effect_size_or_interval,strength_rating,confirmatory_or_exploratory,counterevidence
C001,assistant_process,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,exploration_opening,Welch t + Hedges g + BH-FDR,positive,g = +1.58,strong,exploratory,see 08_validation_and_bias_audit.csv
C002,assistant_process,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,reframing_quality,Welch t + Hedges g + BH-FDR,positive,g = +1.70,strong,exploratory,see 08_validation_and_bias_audit.csv
C003,assistant_process,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,evaluative_discipline,Welch t + Hedges g + BH-FDR,positive,g = +0.86,strong,exploratory,see 08_validation_and_bias_audit.csv
C004,assistant_process,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,agency_preservation,Welch t + Hedges g + BH-FDR,positive,g = +0.81,strong,exploratory,see 08_validation_and_bias_audit.csv
C005,assistant_process,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,anchor_management,Welch t + Hedges g + BH-FDR,positive,g = +1.51,strong,exploratory,see 08_validation_and_bias_audit.csv
C006,dyadic_process,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,coregulation_uptake,Welch t + Hedges g + BH-FDR,positive,g = +1.05,strong,exploratory,see 08_validation_and_bias_audit.csv
C007,assistant_process,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,timing_fit,Welch t + Hedges g + BH-FDR,positive,g = +1.26,strong,exploratory,see 08_validation_and_bias_audit.csv
C008,assistant_process,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,implementation_grounding,Welch t + Hedges g + BH-FDR,positive,g = +0.15,speculative,exploratory,see 08_validation_and_bias_audit.csv
C009,assistant_process,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,cognitive_load_clarity,Welch t + Hedges g + BH-FDR,positive,g = +0.43,moderate,exploratory,see 08_validation_and_bias_audit.csv
C010,assistant_process,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,stance_integrity,Welch t + Hedges g + BH-FDR,positive,g = +0.82,strong,exploratory,see 08_validation_and_bias_audit.csv
C011,assistant_process,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,premature_convergence_risk,Welch t + Hedges g + BH-FDR,negative,g = -0.62,strong,exploratory,see 08_validation_and_bias_audit.csv
C012,assistant_process,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,runaway_divergence_risk,Welch t + Hedges g + BH-FDR,positive,g = +0.05,speculative,exploratory,see 08_validation_and_bias_audit.csv
F013,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,exploration_opening (family=Divergent),Welch t + Hedges g (between-subjects),positive,g = +3.06,strong,exploratory,see 08_validation_and_bias_audit.csv
F014,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,exploration_opening (family=Convergent),Welch t + Hedges g (between-subjects),positive,g = +1.44,strong,exploratory,see 08_validation_and_bias_audit.csv
F015,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,exploration_opening (family=Rational),Welch t + Hedges g (between-subjects),positive,g = +1.37,strong,exploratory,see 08_validation_and_bias_audit.csv
F016,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,exploration_opening (family=BoundedRational),Welch t + Hedges g (between-subjects),positive,g = +1.12,strong,exploratory,see 08_validation_and_bias_audit.csv
F017,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,reframing_quality (family=Divergent),Welch t + Hedges g (between-subjects),positive,g = +2.47,strong,exploratory,see 08_validation_and_bias_audit.csv
F018,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,reframing_quality (family=Convergent),Welch t + Hedges g (between-subjects),positive,g = +1.45,strong,exploratory,see 08_validation_and_bias_audit.csv
F019,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,reframing_quality (family=Rational),Welch t + Hedges g (between-subjects),positive,g = +1.47,strong,exploratory,see 08_validation_and_bias_audit.csv
F020,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,reframing_quality (family=BoundedRational),Welch t + Hedges g (between-subjects),positive,g = +0.98,strong,exploratory,see 08_validation_and_bias_audit.csv
F021,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,evaluative_discipline (family=Divergent),Welch t + Hedges g (between-subjects),positive,g = +0.95,strong,exploratory,see 08_validation_and_bias_audit.csv
F022,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,evaluative_discipline (family=Convergent),Welch t + Hedges g (between-subjects),positive,g = +0.87,strong,exploratory,see 08_validation_and_bias_audit.csv
F023,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,evaluative_discipline (family=Rational),Welch t + Hedges g (between-subjects),positive,g = +1.42,strong,exploratory,see 08_validation_and_bias_audit.csv
F024,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,evaluative_discipline (family=BoundedRational),Welch t + Hedges g (between-subjects),positive,g = +0.32,weak,exploratory,see 08_validation_and_bias_audit.csv
F025,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,agency_preservation (family=Divergent),Welch t + Hedges g (between-subjects),positive,g = +0.60,strong,exploratory,see 08_validation_and_bias_audit.csv
F026,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,agency_preservation (family=Convergent),Welch t + Hedges g (between-subjects),positive,g = +0.79,strong,exploratory,see 08_validation_and_bias_audit.csv
F027,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,agency_preservation (family=Rational),Welch t + Hedges g (between-subjects),positive,g = +0.88,strong,exploratory,see 08_validation_and_bias_audit.csv
F028,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,agency_preservation (family=BoundedRational),Welch t + Hedges g (between-subjects),positive,g = +0.73,strong,exploratory,see 08_validation_and_bias_audit.csv
F029,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,anchor_management (family=Divergent),Welch t + Hedges g (between-subjects),positive,g = +1.80,strong,exploratory,see 08_validation_and_bias_audit.csv
F030,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,anchor_management (family=Convergent),Welch t + Hedges g (between-subjects),positive,g = +1.22,strong,exploratory,see 08_validation_and_bias_audit.csv
F031,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,anchor_management (family=Rational),Welch t + Hedges g (between-subjects),positive,g = +1.44,strong,exploratory,see 08_validation_and_bias_audit.csv
F032,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,anchor_management (family=BoundedRational),Welch t + Hedges g (between-subjects),positive,g = +0.82,strong,exploratory,see 08_validation_and_bias_audit.csv
F033,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,coregulation_uptake (family=Divergent),Welch t + Hedges g (between-subjects),positive,g = +0.87,strong,exploratory,see 08_validation_and_bias_audit.csv
F034,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,coregulation_uptake (family=Convergent),Welch t + Hedges g (between-subjects),positive,g = +0.87,strong,exploratory,see 08_validation_and_bias_audit.csv
F035,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,coregulation_uptake (family=Rational),Welch t + Hedges g (between-subjects),positive,g = +0.75,strong,exploratory,see 08_validation_and_bias_audit.csv
F036,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,coregulation_uptake (family=BoundedRational),Welch t + Hedges g (between-subjects),positive,g = +0.65,strong,exploratory,see 08_validation_and_bias_audit.csv
F037,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,timing_fit (family=Divergent),Welch t + Hedges g (between-subjects),positive,g = +1.62,strong,exploratory,see 08_validation_and_bias_audit.csv
F038,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,timing_fit (family=Convergent),Welch t + Hedges g (between-subjects),positive,g = +0.94,strong,exploratory,see 08_validation_and_bias_audit.csv
F039,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,timing_fit (family=Rational),Welch t + Hedges g (between-subjects),positive,g = +1.02,strong,exploratory,see 08_validation_and_bias_audit.csv
F040,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,timing_fit (family=BoundedRational),Welch t + Hedges g (between-subjects),positive,g = +0.63,strong,exploratory,see 08_validation_and_bias_audit.csv
F041,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,implementation_grounding (family=Divergent),Welch t + Hedges g (between-subjects),positive,g = +0.08,speculative,exploratory,see 08_validation_and_bias_audit.csv
F042,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,implementation_grounding (family=Convergent),Welch t + Hedges g (between-subjects),positive,g = +0.26,weak,exploratory,see 08_validation_and_bias_audit.csv
F043,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,implementation_grounding (family=Rational),Welch t + Hedges g (between-subjects),positive,g = +0.31,weak,exploratory,see 08_validation_and_bias_audit.csv
F044,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,implementation_grounding (family=BoundedRational),Welch t + Hedges g (between-subjects),negative,g = -0.03,speculative,exploratory,see 08_validation_and_bias_audit.csv
F045,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,cognitive_load_clarity (family=Divergent),Welch t + Hedges g (between-subjects),positive,g = +0.12,speculative,exploratory,see 08_validation_and_bias_audit.csv
F046,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,cognitive_load_clarity (family=Convergent),Welch t + Hedges g (between-subjects),positive,g = +0.74,strong,exploratory,see 08_validation_and_bias_audit.csv
F047,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,cognitive_load_clarity (family=Rational),Welch t + Hedges g (between-subjects),positive,g = +0.44,weak,exploratory,see 08_validation_and_bias_audit.csv
F048,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,cognitive_load_clarity (family=BoundedRational),Welch t + Hedges g (between-subjects),positive,g = +0.41,weak,exploratory,see 08_validation_and_bias_audit.csv
F049,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,stance_integrity (family=Divergent),Welch t + Hedges g (between-subjects),positive,g = +0.98,strong,exploratory,see 08_validation_and_bias_audit.csv
F050,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,stance_integrity (family=Convergent),Welch t + Hedges g (between-subjects),positive,g = +0.93,strong,exploratory,see 08_validation_and_bias_audit.csv
F051,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,stance_integrity (family=Rational),Welch t + Hedges g (between-subjects),positive,g = +0.58,strong,exploratory,see 08_validation_and_bias_audit.csv
F052,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,stance_integrity (family=BoundedRational),Welch t + Hedges g (between-subjects),positive,g = +0.17,speculative,exploratory,see 08_validation_and_bias_audit.csv
F053,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,premature_convergence_risk (family=Divergent),Welch t + Hedges g (between-subjects),negative,g = -0.92,strong,exploratory,see 08_validation_and_bias_audit.csv
F054,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,premature_convergence_risk (family=Convergent),Welch t + Hedges g (between-subjects),negative,g = -0.23,weak,exploratory,see 08_validation_and_bias_audit.csv
F055,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,premature_convergence_risk (family=Rational),Welch t + Hedges g (between-subjects),negative,g = -0.74,strong,exploratory,see 08_validation_and_bias_audit.csv
F056,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,premature_convergence_risk (family=BoundedRational),Welch t + Hedges g (between-subjects),negative,g = -0.56,strong,exploratory,see 08_validation_and_bias_audit.csv
F057,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,runaway_divergence_risk (family=Divergent),Welch t + Hedges g (between-subjects),positive,g = +0.40,weak,exploratory,see 08_validation_and_bias_audit.csv
F058,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,runaway_divergence_risk (family=Convergent),Welch t + Hedges g (between-subjects),negative,g = -0.18,speculative,exploratory,see 08_validation_and_bias_audit.csv
F059,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,runaway_divergence_risk (family=Rational),Welch t + Hedges g (between-subjects),negative,g = -0.06,speculative,exploratory,see 08_validation_and_bias_audit.csv
F060,persona_family,episode-level rubric (LLM proxy),05_episode_rubric_scores_adjudicated.csv; 09_statistical_models_summary.csv,runaway_divergence_risk (family=BoundedRational),Welch t + Hedges g (between-subjects),negative,g = -0.20,weak,exploratory,see 08_validation_and_bias_audit.csv
X001,assistant_process,existing process layer,extension_paired.csv; 00_data_audit.md §5a,a_prop,paired t + Wilcoxon,negative,dz = −1.35,strong,confirmatory (pre-existing),
X002,product_proxy,agentic idea extraction (product proxy),analysis_out/production/participant_originality.csv,"n_ideas, orig_same, orig_all, orig_cross",paired t + Welch t + Hedges g,mixed,dz_fluency = +0.53; dz_orig_same = −0.67,moderate,exploratory,
