criterion,A_B_MAE,pct_disagree_ge2,A_B_pearson_r,length_bias_R2
exploration_opening,0.22,0.0,0.82,0.01
reframing_quality,0.22,0.0,0.89,0.12
evaluative_discipline,0.28,0.0,0.86,0.31
agency_preservation,0.22,0.0,0.75,0.0
anchor_management,0.39,0.0,0.86,0.05
coregulation_uptake,0.17,0.0,0.92,0.03
timing_fit,0.17,0.0,0.9,0.01
implementation_grounding,0.22,0.0,0.89,0.2
cognitive_load_clarity,0.17,0.0,0.77,0.02
stance_integrity,0.22,0.0,0.91,0.02
premature_convergence_risk,0.5,6.0,0.57,0.04
runaway_divergence_risk,0.39,0.0,0.82,0.11
