conversation_id,dimension,Dr_C,Dr_D,Dr_I,Dr_L,consensus,sd_across_judges,n_judges_with_score
154,user_authorship_direction_setting,2.5,3.0,2.0,3.0,2.625,0.47871355387816905,4
154,user_cognitive_flexibility,2.0,2.0,2.0,2.0,2.0,0.0,4
154,user_constraint_integration,3.0,2.5,2.0,2.5,2.5,0.408248290463863,4
154,user_epistemic_stance_regulation,2.0,2.0,1.5,2.0,1.875,0.25,4
154,user_ideational_fluency,2.0,2.0,2.0,2.0,2.0,0.0,4
154,user_implementation_relevant_progress,2.0,2.0,2.0,2.0,2.0,0.0,4
154,user_problem_frame_development,2.0,2.0,2.0,2.5,2.125,0.25,4
154,user_reflective_engagement,1.5,2.0,2.0,1.5,1.75,0.28867513459481287,4
155,user_cognitive_flexibility,,1.5,1.5,,1.5,0.0,2
155,user_ideational_fluency,3.0,2.0,2.0,,2.3333333333333335,0.5773502691896258,3
155,user_problem_frame_development,,2.0,1.5,,1.75,0.3535533905932738,2
155,user_reflective_engagement,,2.0,1.5,,1.75,0.3535533905932738,2
171,user_authorship_direction_setting,3.0,3.0,2.5,2.5,2.75,0.28867513459481287,4
171,user_cognitive_flexibility,2.0,2.0,2.0,2.0,2.0,0.0,4
171,user_constraint_integration,2.5,3.0,2.5,2.0,2.5,0.408248290463863,4
171,user_epistemic_stance_regulation,2.5,2.0,2.0,2.5,2.25,0.28867513459481287,4
171,user_ideational_fluency,2.0,2.0,2.0,2.5,2.125,0.25,4
171,user_implementation_relevant_progress,4.0,4.0,3.5,3.0,3.625,0.47871355387816905,4
171,user_problem_frame_development,2.0,2.0,2.0,2.0,2.0,0.0,4
171,user_reflective_engagement,2.0,2.0,2.0,2.0,2.0,0.0,4
196,user_authorship_direction_setting,6.0,6.0,6.0,6.0,6.0,0.0,4
196,user_cognitive_flexibility,4.5,5.0,4.5,5.0,4.75,0.28867513459481287,4
196,user_constraint_integration,3.0,3.0,3.0,3.0,3.0,0.0,4
196,user_epistemic_stance_regulation,2.0,2.0,2.0,2.5,2.125,0.25,4
196,user_ideational_fluency,4.5,5.0,4.0,5.0,4.625,0.47871355387816905,4
196,user_implementation_relevant_progress,3.0,3.0,3.0,3.0,3.0,0.0,4
196,user_problem_frame_development,3.5,4.0,4.0,4.5,4.0,0.408248290463863,4
196,user_reflective_engagement,2.5,3.0,2.5,2.0,2.5,0.408248290463863,4
199,user_authorship_direction_setting,5.0,4.0,4.0,5.0,4.5,0.5773502691896257,4
199,user_cognitive_flexibility,2.5,3.0,3.0,3.0,2.875,0.25,4
199,user_constraint_integration,5.0,5.0,5.0,4.0,4.75,0.5,4
199,user_epistemic_stance_regulation,3.0,3.0,3.0,3.0,3.0,0.0,4
199,user_ideational_fluency,4.0,4.0,4.0,4.0,4.0,0.0,4
199,user_implementation_relevant_progress,4.0,4.5,4.0,4.0,4.125,0.25,4
199,user_problem_frame_development,2.0,2.5,2.0,2.0,2.125,0.25,4
199,user_reflective_engagement,2.0,3.0,3.0,2.5,2.625,0.47871355387816905,4
200,user_authorship_direction_setting,3.0,3.0,2.5,2.5,2.75,0.28867513459481287,4
200,user_cognitive_flexibility,2.0,2.0,2.0,2.0,2.0,0.0,4
200,user_constraint_integration,4.0,3.5,3.0,3.0,3.375,0.47871355387816905,4
200,user_epistemic_stance_regulation,2.0,2.0,2.0,2.0,2.0,0.0,4
200,user_ideational_fluency,3.0,3.5,4.0,3.0,3.375,0.47871355387816905,4
200,user_implementation_relevant_progress,3.5,3.5,3.0,3.0,3.25,0.28867513459481287,4
200,user_problem_frame_development,1.0,1.5,1.0,1.5,1.25,0.28867513459481287,4
200,user_reflective_engagement,1.0,1.0,1.0,1.0,1.0,0.0,4
203,user_authorship_direction_setting,6.0,6.0,6.0,6.0,6.0,0.0,4
203,user_cognitive_flexibility,3.0,2.0,2.5,3.0,2.625,0.47871355387816905,4
203,user_constraint_integration,3.5,3.0,3.0,2.5,3.0,0.408248290463863,4
203,user_epistemic_stance_regulation,2.0,2.0,2.0,2.0,2.0,0.0,4
203,user_ideational_fluency,4.0,4.0,4.0,4.0,4.0,0.0,4
203,user_implementation_relevant_progress,3.5,3.5,3.0,3.5,3.375,0.25,4
203,user_problem_frame_development,2.0,2.0,2.0,2.5,2.125,0.25,4
203,user_reflective_engagement,1.0,1.5,1.0,1.0,1.125,0.25,4
