family,dimension,label,trait,n,rho,p
Divergent,user_ideational_fluency,Ideational fluency,Extraversion,5,-0.05129891760425771,0.934712848108234
Divergent,user_ideational_fluency,Ideational fluency,Agreeableness,5,0.11180339887498948,0.8579446176050993
Divergent,user_ideational_fluency,Ideational fluency,Conscientiousness,5,0.35909242322980395,0.5528147466433508
Divergent,user_ideational_fluency,Ideational fluency,Negative Emotionality,5,-0.39999999999999997,0.5046315754686912
Divergent,user_ideational_fluency,Ideational fluency,Open-Mindedness,5,0.35909242322980395,0.5528147466433508
Divergent,user_cognitive_flexibility,Cognitive flexibility,Extraversion,5,0.35909242322980395,0.5528147466433508
Divergent,user_cognitive_flexibility,Cognitive flexibility,Agreeableness,5,-0.4472135954999579,0.4501848557521007
Divergent,user_cognitive_flexibility,Cognitive flexibility,Conscientiousness,5,-0.05129891760425771,0.934712848108234
Divergent,user_cognitive_flexibility,Cognitive flexibility,Negative Emotionality,5,-0.09999999999999999,0.8728885715695384
Divergent,user_cognitive_flexibility,Cognitive flexibility,Open-Mindedness,5,0.6668859288553503,0.21889398131323148
Divergent,user_problem_frame_development,Problem-frame development,Extraversion,5,0.35909242322980395,0.5528147466433508
Divergent,user_problem_frame_development,Problem-frame development,Agreeableness,5,-0.4472135954999579,0.4501848557521007
Divergent,user_problem_frame_development,Problem-frame development,Conscientiousness,5,-0.05129891760425771,0.934712848108234
Divergent,user_problem_frame_development,Problem-frame development,Negative Emotionality,5,-0.09999999999999999,0.8728885715695384
Divergent,user_problem_frame_development,Problem-frame development,Open-Mindedness,5,0.6668859288553503,0.21889398131323148
Divergent,user_reflective_engagement,Reflective engagement,Extraversion,5,-0.5263157894736843,0.36224548118984495
Divergent,user_reflective_engagement,Reflective engagement,Agreeableness,5,-0.22941573387056177,0.7104817254267775
Divergent,user_reflective_engagement,Reflective engagement,Conscientiousness,5,0.2894736842105264,0.6366447547494906
Divergent,user_reflective_engagement,Reflective engagement,Negative Emotionality,5,-0.35909242322980395,0.5528147466433508
Divergent,user_reflective_engagement,Reflective engagement,Open-Mindedness,5,-0.26315789473684215,0.6688454650582101
Divergent,user_constraint_integration,Constraint integration,Extraversion,5,-0.20519567041703085,0.7405819415910722
Divergent,user_constraint_integration,Constraint integration,Agreeableness,5,0.3354101966249684,0.5810906728217107
Divergent,user_constraint_integration,Constraint integration,Conscientiousness,5,0.35909242322980395,0.5528147466433508
Divergent,user_constraint_integration,Constraint integration,Negative Emotionality,5,-0.3,0.623837664781073
Divergent,user_constraint_integration,Constraint integration,Open-Mindedness,5,0.20519567041703085,0.7405819415910722
Divergent,user_epistemic_stance_regulation,Epistemic stance regulation,Extraversion,5,-0.8207826816681234,0.08858700531354378
Divergent,user_epistemic_stance_regulation,Epistemic stance regulation,Agreeableness,5,0.22360679774997896,0.7176856442107858
Divergent,user_epistemic_stance_regulation,Epistemic stance regulation,Conscientiousness,5,0.6668859288553503,0.21889398131323148
Divergent,user_epistemic_stance_regulation,Epistemic stance regulation,Negative Emotionality,5,-0.7,0.1881204043741873
Divergent,user_epistemic_stance_regulation,Epistemic stance regulation,Open-Mindedness,5,-0.7181848464596079,0.17179530490798894
Divergent,user_authorship_direction_setting,Authorship & direction-setting,Extraversion,5,-0.20519567041703085,0.7405819415910722
Divergent,user_authorship_direction_setting,Authorship & direction-setting,Agreeableness,5,-0.3354101966249684,0.5810906728217107
Divergent,user_authorship_direction_setting,Authorship & direction-setting,Conscientiousness,5,0.05129891760425771,0.934712848108234
Divergent,user_authorship_direction_setting,Authorship & direction-setting,Negative Emotionality,5,-0.09999999999999999,0.8728885715695384
Divergent,user_authorship_direction_setting,Authorship & direction-setting,Open-Mindedness,5,0.20519567041703085,0.7405819415910722
Divergent,user_implementation_relevant_progress,Implementation-relevant progress,Extraversion,5,-0.7631578947368421,0.13333911953180624
Divergent,user_implementation_relevant_progress,Implementation-relevant progress,Agreeableness,5,0.9176629354822471,0.028008456010146142
Divergent,user_implementation_relevant_progress,Implementation-relevant progress,Conscientiousness,5,0.9210526315789475,0.0263105196855779
Divergent,user_implementation_relevant_progress,Implementation-relevant progress,Negative Emotionality,5,-0.8207826816681233,0.08858700531354384
Divergent,user_implementation_relevant_progress,Implementation-relevant progress,Open-Mindedness,5,-0.605263157894737,0.27940925808015626
Convergent,user_ideational_fluency,Ideational fluency,Extraversion,5,-0.09999999999999999,0.8728885715695384
