conversation_id,group,ensemble_holistic_1_7,ensemble_originality_1_7,ensemble_value_1_7,ensemble_insight_reframing_1_7,ensemble_development_1_7,ensemble_integration_1_7,ensemble_human_ethical_1_7,ensemble_process_evidence_1_7,judge_count,token_count,fluency_count,flexibility_count,independence,prior_match_rate,fluency_1_7,flexibility_1_7
635,experiment group,4.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,5,272,2,2,1.0,0.0,1.0,1.0
937,experiment group,3.0,5.0,5.0,3.0,3.0,5.0,2.0,3.0,5,119,6,5,1.0,0.0,2.0,4.0
939,experiment group,2.0,3.0,5.0,1.0,3.0,2.0,2.0,2.0,5,38,2,2,1.0,0.0,1.0,1.0
941,experiment group,3.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,5,427,8,4,1.0,0.0,3.0,3.0
943,control group,3.0,3.0,3.0,2.0,3.0,3.0,1.0,5.0,5,537,7,7,1.0,0.0,3.0,6.0
945,experiment group,4.0,4.0,5.0,4.0,4.0,5.0,2.0,3.0,5,416,6,6,1.0,0.0,2.0,5.0
947,experiment group,4.0,5.0,4.0,5.0,5.0,1.0,2.0,1.0,5,659,5,4,1.0,0.0,2.0,3.0
951,experiment group,4.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0,5,886,4,4,1.0,0.0,2.0,3.0
953,experiment group,2.0,2.0,5.0,4.0,3.0,1.0,2.0,1.0,5,144,7,7,1.0,0.0,3.0,6.0
955,control group,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,5,379,4,3,1.0,0.0,2.0,2.0
957,experiment group,4.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,5,500,9,4,1.0,0.0,3.0,3.0
961,experiment group,3.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,5,45,4,3,1.0,0.0,2.0,2.0
969,experiment group,3.0,4.0,3.0,6.0,3.0,2.0,2.0,2.0,5,166,4,3,1.0,0.0,2.0,2.0
971,experiment group,4.0,4.0,4.0,5.0,4.0,5.0,3.0,2.0,5,717,4,2,1.0,0.0,2.0,1.0
975,control group,4.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,5,840,10,3,1.0,0.0,4.0,2.0
979,control group,3.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,5,312,5,5,1.0,0.0,2.0,4.0
981,experiment group,4.0,3.0,5.0,4.0,4.0,5.0,3.0,2.0,5,730,7,7,1.0,0.0,3.0,6.0
983,experiment group,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5,1273,20,7,1.0,0.0,7.0,6.0
985,experiment group,3.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,5,243,3,3,1.0,0.0,1.0,2.0
987,control group,4.0,4.0,5.0,5.0,3.0,3.0,3.0,5.0,5,837,16,6,1.0,0.0,6.0,5.0
989,experiment group,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5,612,8,7,1.0,0.0,3.0,6.0
991,experiment group,4.0,4.0,4.0,5.0,4.0,5.0,3.0,2.0,5,463,8,5,1.0,0.0,3.0,4.0
995,control group,3.0,5.0,4.0,2.0,3.0,3.0,2.0,3.0,5,124,5,5,0.8,0.0,2.0,4.0
997,control group,4.0,3.0,4.0,4.0,3.0,3.0,1.0,4.0,5,504,14,6,1.0,0.0,5.0,5.0
1005,experiment group,4.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,5,1175,15,6,1.0,0.0,5.0,5.0
1007,control group,3.0,3.0,4.0,5.0,3.0,2.0,2.0,3.0,5,497,9,7,1.0,0.0,3.0,6.0
1009,experiment group,3.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,5,331,6,4,1.0,0.0,2.0,3.0
1011,experiment group,3.0,5.0,4.0,5.0,3.0,1.0,2.0,3.0,5,405,5,4,1.0,0.0,2.0,3.0
1015,control group,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,5,1132,17,5,1.0,0.0,6.0,4.0
1017,experiment group,4.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,5,468,11,6,1.0,0.0,4.0,5.0
1021,experiment group,3.0,4.0,4.0,3.0,3.0,3.0,2.0,6.0,5,428,5,5,1.0,0.0,2.0,4.0
1023,experiment group,5.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,5,841,9,7,1.0,0.0,3.0,6.0
1027,experiment group,3.0,2.0,4.0,4.0,3.0,3.0,3.0,5.0,5,665,10,7,1.0,0.0,4.0,6.0
1029,experiment group,5.0,4.0,5.0,3.0,5.0,6.0,3.0,5.0,5,725,8,5,0.875,0.0,3.0,4.0
1031,experiment group,3.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,5,492,7,4,1.0,0.0,3.0,3.0
1033,control group,3.0,3.0,3.0,4.0,3.0,4.0,3.0,6.0,5,771,7,5,1.0,0.0,3.0,4.0
1035,experiment group,3.0,1.0,3.0,5.0,5.0,4.0,1.0,2.0,5,393,5,4,1.0,0.0,2.0,3.0
1043,experiment group,3.0,2.0,3.0,2.0,5.0,5.0,3.0,2.0,5,398,9,6,1.0,0.0,3.0,5.0
1047,control group,3.0,4.0,3.0,5.0,3.0,3.0,2.0,2.0,5,510,10,8,1.0,0.0,4.0,7.0
1049,experiment group,3.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,5,662,8,6,1.0,0.0,3.0,5.0
1053,experiment group,4.0,2.0,5.0,3.0,3.0,5.0,1.0,5.0,5,1259,9,8,1.0,0.0,3.0,7.0
1055,experiment group,4.0,3.0,5.0,5.0,4.0,3.0,4.0,6.0,5,772,13,7,1.0,0.0,5.0,6.0
1057,experiment group,5.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,5,1218,14,7,1.0,0.0,5.0,6.0
1059,control group,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5,590,10,6,1.0,0.0,4.0,5.0
1061,control group,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,5,1019,14,7,1.0,0.0,5.0,6.0
1063,control group,3.0,3.0,3.0,5.0,3.0,4.0,2.0,1.0,5,926,5,5,1.0,0.0,2.0,4.0
1065,experiment group,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,5,773,6,5,1.0,0.0,2.0,4.0
1067,experiment group,5.0,6.0,5.0,6.0,5.0,5.0,3.0,2.0,5,771,10,8,1.0,0.0,4.0,7.0
1069,experiment group,5.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,5,339,11,5,1.0,0.0,4.0,4.0
1071,experiment group,4.0,4.0,4.0,2.0,5.0,4.0,1.0,5.0,5,1232,9,5,1.0,0.0,3.0,4.0
1073,experiment group,4.0,3.0,4.0,5.0,3.0,5.0,6.0,3.0,5,865,11,4,1.0,0.0,4.0,3.0
1075,control group,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,5,759,9,4,0.8888888888888888,0.0,3.0,3.0
1081,control group,4.0,3.0,4.0,5.0,4.0,5.0,3.0,1.0,5,570,10,6,1.0,0.0,4.0,5.0
1083,control group,4.0,5.0,3.0,5.0,4.0,5.0,3.0,1.0,5,481,9,6,1.0,0.0,3.0,5.0
1085,experiment group,4.0,3.0,4.0,5.0,5.0,5.0,1.0,4.0,5,443,12,5,0.8333333333333334,0.0,4.0,4.0
1087,experiment group,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5,631,6,4,1.0,0.0,2.0,3.0
1091,control group,4.0,3.0,4.0,5.0,3.0,5.0,6.0,3.0,5,794,12,5,1.0,0.0,4.0,4.0
1093,experiment group,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5,447,5,5,1.0,0.0,2.0,4.0
1095,experiment group,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5,402,8,5,1.0,0.0,3.0,4.0
1097,experiment group,4.0,3.0,6.0,5.0,4.0,4.0,1.0,5.0,5,872,8,6,1.0,0.0,3.0,5.0
1099,experiment group,4.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,5,488,7,6,1.0,0.0,3.0,5.0
1103,control group,3.0,2.0,5.0,3.0,3.0,6.0,2.0,2.0,5,483,11,8,1.0,0.0,4.0,7.0
1105,control group,3.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,5,257,6,4,1.0,0.0,2.0,3.0
1107,experiment group,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,5,245,5,4,1.0,0.0,2.0,3.0
1111,experiment group,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5,479,11,6,1.0,0.0,4.0,5.0
1115,experiment group,4.0,2.0,3.0,4.0,4.0,4.0,3.0,5.0,5,846,13,7,1.0,0.0,5.0,6.0
1119,experiment group,2.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,5,803,14,6,1.0,0.0,5.0,5.0
1125,experiment group,4.0,5.0,5.0,4.0,2.0,4.0,2.0,4.0,5,718,15,8,1.0,0.0,5.0,7.0
1127,experiment group,4.0,4.0,4.0,2.0,3.0,5.0,3.0,3.0,5,379,5,4,1.0,0.0,2.0,3.0
1129,experiment group,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,5,552,8,4,1.0,0.0,3.0,3.0
1133,experiment group,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5,804,10,7,1.0,0.0,4.0,6.0
1135,control group,4.0,2.0,4.0,5.0,3.0,4.0,2.0,4.0,5,720,8,5,1.0,0.0,3.0,4.0
1137,experiment group,3.0,2.0,5.0,2.0,3.0,5.0,3.0,4.0,5,521,15,6,1.0,0.0,5.0,5.0
1141,experiment group,4.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,5,505,10,5,1.0,0.0,4.0,4.0
1143,experiment group,4.0,3.0,3.0,5.0,5.0,3.0,5.0,1.0,5,492,12,8,1.0,0.0,4.0,7.0
1145,experiment group,4.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,5,611,4,4,1.0,0.0,2.0,3.0
1147,control group,4.0,2.0,4.0,5.0,4.0,4.0,2.0,6.0,5,789,6,6,0.8333333333333334,0.0,2.0,5.0
1151,experiment group,3.0,2.0,2.0,3.0,4.0,4.0,1.0,4.0,5,1997,5,5,1.0,0.0,2.0,4.0
1155,experiment group,4.0,1.0,4.0,4.0,4.0,5.0,3.0,3.0,5,899,7,7,1.0,0.0,3.0,6.0
1157,experiment group,4.0,3.0,5.0,5.0,4.0,3.0,5.0,1.0,5,470,6,2,1.0,0.0,2.0,1.0
1159,experiment group,5.0,6.0,3.0,5.0,4.0,2.0,6.0,5.0,5,542,5,5,1.0,0.0,2.0,4.0
1161,experiment group,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5,959,12,5,1.0,0.0,4.0,4.0
1165,control group,3.0,2.0,2.0,3.0,5.0,4.0,1.0,3.0,5,905,10,7,1.0,0.0,4.0,6.0
1167,experiment group,3.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,5,651,12,6,1.0,0.0,4.0,5.0
1171,control group,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,5,824,8,5,1.0,0.0,3.0,4.0
1173,experiment group,5.0,5.0,4.0,2.0,3.0,5.0,6.0,5.0,5,509,8,3,1.0,0.0,3.0,2.0
1175,control group,5.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,5,513,12,5,1.0,0.0,4.0,4.0
1177,control group,3.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,5,781,9,6,1.0,0.0,3.0,5.0
1179,experiment group,5.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,5,628,10,7,1.0,0.0,4.0,6.0
1183,experiment group,3.0,2.0,5.0,5.0,3.0,5.0,3.0,1.0,5,1102,6,3,1.0,0.0,2.0,2.0
1185,control group,4.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,5,275,4,4,1.0,0.0,2.0,3.0
1191,experiment group,5.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,5,1188,12,4,1.0,0.0,4.0,3.0
1195,control group,4.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5,688,9,8,1.0,0.0,3.0,7.0
1197,experiment group,2.0,3.5,3.75,2.75,2.0,2.0,2.0,2.0,5,188,5,5,1.0,0.0,2.0,4.0
1199,experiment group,4.0,3.0,4.0,5.0,3.0,4.0,5.0,2.0,5,654,8,7,1.0,0.0,3.0,6.0
1201,experiment group,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,5,397,16,6,1.0,0.0,6.0,5.0
1203,control group,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,5,1173,14,6,1.0,0.0,5.0,5.0
1211,experiment group,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,5,584,9,8,1.0,0.0,3.0,7.0
