conversation_id,persona_label,quarter,n_msg,n_q,q_rate
154,GPT (Control),Q1,3,2,0.6666666666666666
154,GPT (Control),Q2,3,3,1.0
154,GPT (Control),Q3,3,0,0.0
154,GPT (Control),Q4,2,1,0.5
155,GPT (Control),Q1,2,1,0.5
155,GPT (Control),Q2,2,0,0.0
155,GPT (Control),Q3,2,0,0.0
155,GPT (Control),Q4,1,0,0.0
157,GPT (Control),Q1,2,1,0.5
157,GPT (Control),Q2,2,1,0.5
157,GPT (Control),Q3,2,1,0.5
157,GPT (Control),Q4,2,0,0.0
158,GPT (Control),Q1,2,1,0.5
158,GPT (Control),Q2,2,0,0.0
158,GPT (Control),Q3,2,0,0.0
158,GPT (Control),Q4,1,0,0.0
159,GPT (Control),Q1,2,1,0.5
159,GPT (Control),Q2,2,0,0.0
159,GPT (Control),Q3,2,1,0.5
159,GPT (Control),Q4,2,0,0.0
160,GPT (Control),Q1,2,1,0.5
160,GPT (Control),Q2,2,0,0.0
160,GPT (Control),Q3,2,0,0.0
160,GPT (Control),Q4,2,0,0.0
161,GPT (Control),Q1,3,1,0.3333333333333333
161,GPT (Control),Q2,2,0,0.0
161,GPT (Control),Q3,2,0,0.0
161,GPT (Control),Q4,2,0,0.0
162,GPT (Control),Q1,2,1,0.5
162,GPT (Control),Q2,2,0,0.0
162,GPT (Control),Q3,2,0,0.0
162,GPT (Control),Q4,1,0,0.0
164,GPT (Control),Q1,2,1,0.5
164,GPT (Control),Q2,1,0,0.0
164,GPT (Control),Q3,1,0,0.0
164,GPT (Control),Q4,1,1,1.0
166,Convergent,Q1,2,1,0.5
166,Convergent,Q2,1,1,1.0
166,Convergent,Q3,1,0,0.0
166,Convergent,Q4,1,0,0.0
167,Convergent,Q1,2,1,0.5
167,Convergent,Q2,2,0,0.0
167,Convergent,Q3,2,0,0.0
167,Convergent,Q4,1,0,0.0
168,Convergent,Q1,2,1,0.5
168,Convergent,Q2,1,0,0.0
168,Convergent,Q3,2,0,0.0
168,Convergent,Q4,1,0,0.0
169,Convergent,Q1,2,1,0.5
169,Convergent,Q2,2,0,0.0
169,Convergent,Q3,2,0,0.0
169,Convergent,Q4,1,0,0.0
170,Convergent,Q1,2,1,0.5
170,Convergent,Q2,2,0,0.0
170,Convergent,Q3,2,0,0.0
170,Convergent,Q4,2,0,0.0
171,Convergent,Q1,4,3,0.75
171,Convergent,Q2,3,3,1.0
171,Convergent,Q3,3,1,0.3333333333333333
171,Convergent,Q4,3,0,0.0
172,Convergent,Q1,3,1,0.3333333333333333
172,Convergent,Q2,2,0,0.0
172,Convergent,Q3,2,0,0.0
172,Convergent,Q4,2,0,0.0
175,Convergent,Q1,3,1,0.3333333333333333
175,Convergent,Q2,2,1,0.5
175,Convergent,Q3,2,0,0.0
175,Convergent,Q4,2,0,0.0
176,Convergent,Q1,2,1,0.5
176,Convergent,Q2,2,0,0.0
176,Convergent,Q3,2,0,0.0
176,Convergent,Q4,1,0,0.0
180,GPT (Control),Q1,2,1,0.5
180,GPT (Control),Q2,2,1,0.5
180,GPT (Control),Q3,2,0,0.0
