family,construct,label,n,rho,p
Divergent,exp,Expansion,38,0.3614180982602035,0.02578253803919046
Divergent,con,Contraction,38,0.05241273662326294,0.7546486306568404
Divergent,cri,Critique,38,0.30145530145530147,0.06587584302031683
Divergent,cer,Certainty,38,0.01980523033154612,0.9060512326076499
Divergent,com,Commitment,38,0.15789473684210525,0.3437552490961845
Divergent,ref,Reframing,38,0.09508698982383193,0.5701271670952616
Divergent,prop,Propose-new-idea,38,0.24324324324324326,0.14113763583546612
Convergent,exp,Expansion,41,0.04111498257839722,0.7985449515056497
Convergent,con,Contraction,41,0.07857142857142858,0.6253373170939964
Convergent,cri,Critique,41,0.19407665505226485,0.2240354924946753
Convergent,cer,Certainty,41,0.11742160278745647,0.4646884440781218
Convergent,com,Commitment,41,-0.08101045296167249,0.6146076519591142
Convergent,ref,Reframing,41,-0.09024390243902441,0.5747157843675211
Convergent,prop,Propose-new-idea,41,0.3587108013937283,0.021274468313469828
Rational,exp,Expansion,9,0.18333333333333335,0.6368198117628943
Rational,con,Contraction,9,0.5499999999999999,0.12497678418833195
Rational,cri,Critique,9,0.13333333333333333,0.7323675052362973
Rational,cer,Certainty,9,-0.13333333333333333,0.7323675052362973
Rational,com,Commitment,9,0.26666666666666666,0.48792227483870076
Rational,ref,Reframing,9,0.7999999999999999,0.009627924725379839
Rational,prop,Propose-new-idea,9,0.5833333333333334,0.09918581647988327
BoundedRational,exp,Expansion,9,0.25,0.5164895523012261
BoundedRational,con,Contraction,9,0.21666666666666667,0.5755148957119259
BoundedRational,cri,Critique,9,0.45,0.22421610749233675
BoundedRational,cer,Certainty,9,-0.5833333333333334,0.09918581647988327
BoundedRational,com,Commitment,9,0.19999999999999998,0.6059012741795534
BoundedRational,ref,Reframing,9,0.33333333333333337,0.38071318167686347
BoundedRational,prop,Propose-new-idea,9,-0.09999999999999999,0.797971695234851
