conversation_id,judge_id,paraphrase,dimension,score_1_7,confidence_0_1,usable_for_inference,n_attempts,wrote_at,model_used
154,Dr_C,A,user_ideational_fluency,2.0,0.9,True,1,2026-05-23 18:23:29,gemini-3.1-flash-lite-preview
154,Dr_C,A,user_cognitive_flexibility,2.0,0.9,True,1,2026-05-23 18:23:32,gemini-3.1-flash-lite-preview
154,Dr_C,A,user_problem_frame_development,2.0,0.9,True,1,2026-05-23 18:23:34,gemini-3.1-flash-lite-preview
154,Dr_C,A,user_reflective_engagement,1.0,0.95,True,1,2026-05-23 18:23:36,gemini-3.1-flash-lite-preview
154,Dr_C,A,user_constraint_integration,3.0,0.8,True,1,2026-05-23 18:23:38,gemini-3.1-flash-lite-preview
154,Dr_C,A,user_epistemic_stance_regulation,2.0,0.85,True,1,2026-05-23 18:23:45,gemini-3.1-flash-lite-preview
154,Dr_C,A,user_authorship_direction_setting,3.0,0.9,True,1,2026-05-23 18:23:48,gemini-3.1-flash-lite-preview
154,Dr_C,A,user_implementation_relevant_progress,2.0,0.9,True,1,2026-05-23 18:23:49,gemini-3.1-flash-lite-preview
154,Dr_C,B,user_ideational_fluency,2.0,0.9,True,1,2026-05-23 18:23:54,gemini-3.1-flash-lite-preview
154,Dr_C,B,user_cognitive_flexibility,2.0,0.9,True,1,2026-05-23 18:24:03,gemini-3.1-flash-lite-preview
154,Dr_C,B,user_problem_frame_development,2.0,0.9,True,1,2026-05-23 18:24:05,gemini-3.1-flash-lite-preview
154,Dr_C,B,user_reflective_engagement,2.0,0.9,True,1,2026-05-23 18:24:07,gemini-3.1-flash-lite-preview
154,Dr_C,B,user_constraint_integration,3.0,0.8,True,1,2026-05-23 18:24:09,gemini-3.1-flash-lite-preview
154,Dr_C,B,user_epistemic_stance_regulation,2.0,0.8,True,1,2026-05-23 18:24:16,gemini-3.1-flash-lite-preview
154,Dr_C,B,user_authorship_direction_setting,2.0,0.9,True,1,2026-05-23 18:24:23,gemini-3.1-flash-lite-preview
154,Dr_C,B,user_implementation_relevant_progress,2.0,0.9,True,1,2026-05-23 18:24:25,gemini-3.1-flash-lite-preview
154,Dr_I,A,user_ideational_fluency,2.0,0.9,True,1,2026-05-23 18:24:27,gemini-3.1-flash-lite-preview
